-4.175455 	 0.000571 
-3.966625 	 0.000190 
-3.757796 	 0.000380 
-3.548967 	 0.001141 
-3.340137 	 0.003804 
-3.131308 	 0.007037 
-2.922478 	 0.014835 
-2.713649 	 0.026626 
-2.504819 	 0.046596 
-2.295990 	 0.073032 
-2.087161 	 0.120959 
-1.878331 	 0.170407 
-1.669502 	 0.247432 
-1.460672 	 0.337771 
-1.251843 	 0.457018 
-1.043013 	 0.590339 
-0.834184 	 0.708254 
-0.625355 	 0.837010 
-0.416525 	 0.939140 
-0.207696 	 0.979650 
0.001134 	 1.000000 
0.209963 	 0.996196 
0.418793 	 0.924686 
0.627622 	 0.862876 
0.836451 	 0.721377 
1.045281 	 0.574553 
1.254110 	 0.465006 
1.462940 	 0.346710 
1.671769 	 0.261696 
1.880599 	 0.171358 
2.089428 	 0.116394 
2.298257 	 0.069228 
2.507087 	 0.044504 
2.715916 	 0.024724 
2.924746 	 0.015405 
3.133575 	 0.008178 
3.342405 	 0.003233 
3.551234 	 0.002092 
3.760063 	 0.001141 
3.968893 	 0.000190 
